model,Category,Category Value,Precision,Recall,F1,Accuracy
d4data_bias-detection-model,Topic,international-politics-and-world-news,{'precision': 0.75},{'recall': 0.5294117647058824},{'f1': 0.6206896551724138},{'accuracy': 0.5769230769230769}
d4data_bias-detection-model,Topic,islam,{'precision': 0.0},{'recall': 0.0},{'f1': 0.0},{'accuracy': 0.34285714285714286}
d4data_bias-detection-model,Topic,marriage-equality,{'precision': 0.0},{'recall': 0.0},{'f1': 0.0},{'accuracy': 0.35294117647058826}
d4data_bias-detection-model,Topic,middle-class,{'precision': 1.0},{'recall': 0.5},{'f1': 0.6666666666666666},{'accuracy': 0.5185185185185185}
d4data_bias-detection-model,Topic,sport,{'precision': 1.0},{'recall': 0.5172413793103449},{'f1': 0.6818181818181818},{'accuracy': 0.5172413793103449}
d4data_bias-detection-model,Topic,student-debt,{'precision': 1.0},{'recall': 0.6818181818181818},{'f1': 0.8108108108108109},{'accuracy': 0.6818181818181818}
d4data_bias-detection-model,Topic,taxes,{'precision': 0.9285714285714286},{'recall': 0.5},{'f1': 0.65},{'accuracy': 0.48148148148148145}
d4data_bias-detection-model,Topic,trump-presidency,{'precision': 0.9444444444444444},{'recall': 0.6538461538461539},{'f1': 0.7727272727272727},{'accuracy': 0.6296296296296297}
d4data_bias-detection-model,Topic,universal health care,{'precision': 0.875},{'recall': 0.5},{'f1': 0.6363636363636364},{'accuracy': 0.48936170212765956}
d4data_bias-detection-model,Topic,vaccines,{'precision': 0.24489795918367346},{'recall': 0.5217391304347826},{'f1': 0.3333333333333333},{'accuracy': 0.4606741573033708}
d4data_bias-detection-model,Topic,white-nationalism,{'precision': 0.5833333333333334},{'recall': 0.7368421052631579},{'f1': 0.6511627906976745},{'accuracy': 0.5}
valurank_distilroberta-bias,Type,center,{'precision': 1.0},{'recall': 0.3014705882352941},{'f1': 0.4632768361581921},{'accuracy': 0.3014705882352941}
valurank_distilroberta-bias,Type,left,{'precision': 1.0},{'recall': 0.7044334975369458},{'f1': 0.8265895953757225},{'accuracy': 0.7044334975369458}
valurank_distilroberta-bias,Type,right,{'precision': 1.0},{'recall': 0.6395939086294417},{'f1': 0.7801857585139319},{'accuracy': 0.6395939086294417}
valurank_distilroberta-bias,Topic,#metoo,{'precision': 1.0},{'recall': 0.16666666666666666},{'f1': 0.2857142857142857},{'accuracy': 0.2857142857142857}
valurank_distilroberta-bias,Topic,abortion,{'precision': 0.8709677419354839},{'recall': 0.7297297297297297},{'f1': 0.7941176470588235},{'accuracy': 0.6956521739130435}
valurank_distilroberta-bias,Topic,blm,{'precision': 0.5882352941176471},{'recall': 0.425531914893617},{'f1': 0.49382716049382713},{'accuracy': 0.5119047619047619}
valurank_distilroberta-bias,Topic,coronavirus,{'precision': 0.8461538461538461},{'recall': 0.6470588235294118},{'f1': 0.7333333333333333},{'accuracy': 0.6190476190476191}
valurank_distilroberta-bias,Topic,elections-2020,{'precision': 0.7857142857142857},{'recall': 0.4782608695652174},{'f1': 0.5945945945945946},{'accuracy': 0.4827586206896552}
valurank_distilroberta-bias,Topic,environment,{'precision': 0.9},{'recall': 0.5454545454545454},{'f1': 0.6792452830188679},{'accuracy': 0.575}
valurank_distilroberta-bias,Topic,gender,{'precision': 0.9230769230769231},{'recall': 0.631578947368421},{'f1': 0.75},{'accuracy': 0.6363636363636364}
valurank_distilroberta-bias,Topic,gun control,{'precision': 0.9245283018867925},{'recall': 0.6533333333333333},{'f1': 0.765625},{'accuracy': 0.6590909090909091}
valurank_distilroberta-bias,Topic,immigration,{'precision': 0.7894736842105263},{'recall': 0.6521739130434783},{'f1': 0.7142857142857143},{'accuracy': 0.6470588235294118}
valurank_distilroberta-bias,Topic,international-politics-and-world-news,{'precision': 0.75},{'recall': 0.5294117647058824},{'f1': 0.6206896551724138},{'accuracy': 0.5769230769230769}
valurank_distilroberta-bias,Topic,islam,{'precision': 0.0},{'recall': 0.0},{'f1': 0.0},{'accuracy': 0.34285714285714286}
valurank_distilroberta-bias,Topic,marriage-equality,{'precision': 0.0},{'recall': 0.0},{'f1': 0.0},{'accuracy': 0.3382352941176471}
valurank_distilroberta-bias,Topic,middle-class,{'precision': 0.9375},{'recall': 0.5769230769230769},{'f1': 0.7142857142857143},{'accuracy': 0.5555555555555556}
valurank_distilroberta-bias,Topic,sport,{'precision': 1.0},{'recall': 0.4827586206896552},{'f1': 0.6511627906976745},{'accuracy': 0.4827586206896552}
valurank_distilroberta-bias,Topic,student-debt,{'precision': 1.0},{'recall': 0.5454545454545454},{'f1': 0.7058823529411765},{'accuracy': 0.5454545454545454}
valurank_distilroberta-bias,Topic,taxes,{'precision': 0.9310344827586207},{'recall': 0.5192307692307693},{'f1': 0.6666666666666666},{'accuracy': 0.5}
valurank_distilroberta-bias,Topic,trump-presidency,{'precision': 0.9444444444444444},{'recall': 0.6538461538461539},{'f1': 0.7727272727272727},{'accuracy': 0.6296296296296297}
valurank_distilroberta-bias,Topic,universal health care,{'precision': 0.8148148148148148},{'recall': 0.5238095238095238},{'f1': 0.6376811594202898},{'accuracy': 0.46808510638297873}
valurank_distilroberta-bias,Topic,vaccines,{'precision': 0.3125},{'recall': 0.6521739130434783},{'f1': 0.4225352112676056},{'accuracy': 0.5393258426966292}
valurank_distilroberta-bias,Topic,white-nationalism,{'precision': 0.7142857142857143},{'recall': 0.7894736842105263},{'f1': 0.75},{'accuracy': 0.6666666666666666}
D1V1DE-on-BABE,Type,center,{'precision': 1.0},{'recall': 0.058823529411764705},{'f1': 0.1111111111111111},{'accuracy': 0.058823529411764705}
D1V1DE-on-BABE,Type,left,{'precision': 1.0},{'recall': 0.12315270935960591},{'f1': 0.21929824561403508},{'accuracy': 0.12315270935960591}
D1V1DE-on-BABE,Type,right,{'precision': 1.0},{'recall': 0.10152284263959391},{'f1': 0.18433179723502305},{'accuracy': 0.10152284263959391}
D1V1DE-on-BABE,Topic,#metoo,{'precision': 1.0},{'recall': 0.16666666666666666},{'f1': 0.2857142857142857},{'accuracy': 0.2857142857142857}
D1V1DE-on-BABE,Topic,abortion,{'precision': 0.4444444444444444},{'recall': 0.10810810810810811},{'f1': 0.17391304347826086},{'accuracy': 0.17391304347826086}
D1V1DE-on-BABE,Topic,blm,{'precision': 0.34782608695652173},{'recall': 0.1702127659574468},{'f1': 0.22857142857142856},{'accuracy': 0.35714285714285715}
D1V1DE-on-BABE,Topic,coronavirus,{'precision': 0.7142857142857143},{'recall': 0.29411764705882354},{'f1': 0.4166666666666667},{'accuracy': 0.3333333333333333}
D1V1DE-on-BABE,Topic,elections-2020,{'precision': 0.25},{'recall': 0.043478260869565216},{'f1': 0.07407407407407407},{'accuracy': 0.13793103448275862}
D1V1DE-on-BABE,Topic,environment,{'precision': 0.4444444444444444},{'recall': 0.12121212121212122},{'f1': 0.19047619047619047},{'accuracy': 0.15}
D1V1DE-on-BABE,Topic,gender,{'precision': 0.6666666666666666},{'recall': 0.21052631578947367},{'f1': 0.32},{'accuracy': 0.22727272727272727}
D1V1DE-on-BABE,Topic,gun control,{'precision': 0.5333333333333333},{'recall': 0.10666666666666667},{'f1': 0.17777777777777778},{'accuracy': 0.1590909090909091}
D1V1DE-on-BABE,Topic,immigration,{'precision': 0.0},{'recall': 0.0},{'f1': 0.0},{'accuracy': 0.17647058823529413}
D1V1DE-on-BABE,Topic,international-politics-and-world-news,{'precision': 0.0},{'recall': 0.0},{'f1': 0.0},{'accuracy': 0.038461538461538464}
D1V1DE-on-BABE,Topic,islam,{'precision': 0.0},{'recall': 0.0},{'f1': 0.0},{'accuracy': 0.4}
D1V1DE-on-BABE,Topic,marriage-equality,{'precision': 0.0},{'recall': 0.0},{'f1': 0.0},{'accuracy': 0.5294117647058824}
D1V1DE-on-BABE,Topic,middle-class,{'precision': 0.0},{'recall': 0.0},{'f1': 0.0},{'accuracy': 0.037037037037037035}
D1V1DE-on-BABE,Topic,sport,{'precision': 1.0},{'recall': 0.034482758620689655},{'f1': 0.06666666666666667},{'accuracy': 0.034482758620689655}
D1V1DE-on-BABE,Topic,student-debt,{'precision': 0.0},{'recall': 0.0},{'f1': 0.0},{'accuracy': 0.0}
D1V1DE-on-BABE,Topic,taxes,{'precision': 1.0},{'recall': 0.057692307692307696},{'f1': 0.10909090909090909},{'accuracy': 0.09259259259259259}
D1V1DE-on-BABE,Topic,trump-presidency,{'precision': 0.0},{'recall': 0.0},{'f1': 0.0},{'accuracy': 0.037037037037037035}
D1V1DE-on-BABE,Topic,universal health care,{'precision': 1.0},{'recall': 0.19047619047619047},{'f1': 0.32},{'accuracy': 0.2765957446808511}
D1V1DE-on-BABE,Topic,vaccines,{'precision': 0.13157894736842105},{'recall': 0.21739130434782608},{'f1': 0.16393442622950818},{'accuracy': 0.42696629213483145}
D1V1DE-on-BABE,Topic,white-nationalism,{'precision': 0.125},{'recall': 0.05263157894736842},{'f1': 0.07407407407407407},{'accuracy': 0.16666666666666666}
D4DATA-on-BABE,Type,center,{'precision': 1.0},{'recall': 0.875},{'f1': 0.9333333333333333},{'accuracy': 0.875}
D4DATA-on-BABE,Type,left,{'precision': 1.0},{'recall': 0.8275862068965517},{'f1': 0.9056603773584906},{'accuracy': 0.8275862068965517}
D4DATA-on-BABE,Type,right,{'precision': 1.0},{'recall': 0.8426395939086294},{'f1': 0.9146005509641874},{'accuracy': 0.8426395939086294}
D4DATA-on-BABE,Topic,#metoo,{'precision': 0.6666666666666666},{'recall': 0.3333333333333333},{'f1': 0.4444444444444444},{'accuracy': 0.2857142857142857}
D4DATA-on-BABE,Topic,abortion,{'precision': 0.9459459459459459},{'recall': 0.9459459459459459},{'f1': 0.9459459459459459},{'accuracy': 0.9130434782608695}
D4DATA-on-BABE,Topic,blm,{'precision': 0.6829268292682927},{'recall': 0.5957446808510638},{'f1': 0.6363636363636364},{'accuracy': 0.6190476190476191}
D4DATA-on-BABE,Topic,coronavirus,{'precision': 1.0},{'recall': 0.8823529411764706},{'f1': 0.9375},{'accuracy': 0.9047619047619048}
D4DATA-on-BABE,Topic,elections-2020,{'precision': 0.8846153846153846},{'recall': 1.0},{'f1': 0.9387755102040817},{'accuracy': 0.896551724137931}
D4DATA-on-BABE,Topic,environment,{'precision': 0.9},{'recall': 0.8181818181818182},{'f1': 0.8571428571428571},{'accuracy': 0.775}
D4DATA-on-BABE,Topic,gender,{'precision': 1.0},{'recall': 0.7894736842105263},{'f1': 0.8823529411764706},{'accuracy': 0.8181818181818182}
D4DATA-on-BABE,Topic,gun control,{'precision': 0.927536231884058},{'recall': 0.8533333333333334},{'f1': 0.8888888888888888},{'accuracy': 0.8181818181818182}
D4DATA-on-BABE,Topic,immigration,{'precision': 0.8461538461538461},{'recall': 0.9565217391304348},{'f1': 0.8979591836734694},{'accuracy': 0.8529411764705882}
D4DATA-on-BABE,Topic,international-politics-and-world-news,{'precision': 1.0},{'recall': 0.9411764705882353},{'f1': 0.9696969696969697},{'accuracy': 0.9615384615384616}
D4DATA-on-BABE,Topic,islam,{'precision': 0.0},{'recall': 0.0},{'f1': 0.0},{'accuracy': 0.42857142857142855}
D4DATA-on-BABE,Topic,marriage-equality,{'precision': 0.0},{'recall': 0.0},{'f1': 0.0},{'accuracy': 0.6470588235294118}
D4DATA-on-BABE,Topic,middle-class,{'precision': 0.9629629629629629},{'recall': 1.0},{'f1': 0.9811320754716981},{'accuracy': 0.9629629629629629}
D4DATA-on-BABE,Topic,sport,{'precision': 1.0},{'recall': 0.9310344827586207},{'f1': 0.9642857142857143},{'accuracy': 0.9310344827586207}
D4DATA-on-BABE,Topic,student-debt,{'precision': 1.0},{'recall': 1.0},{'f1': 1.0},{'accuracy': 1.0}
D4DATA-on-BABE,Topic,taxes,{'precision': 0.9574468085106383},{'recall': 0.8653846153846154},{'f1': 0.9090909090909091},{'accuracy': 0.8333333333333334}
D4DATA-on-BABE,Topic,trump-presidency,{'precision': 0.9615384615384616},{'recall': 0.9615384615384616},{'f1': 0.9615384615384616},{'accuracy': 0.9259259259259259}
D4DATA-on-BABE,Topic,universal health care,{'precision': 0.8709677419354839},{'recall': 0.6428571428571429},{'f1': 0.7397260273972602},{'accuracy': 0.5957446808510638}
D4DATA-on-BABE,Topic,vaccines,{'precision': 0.36},{'recall': 0.782608695652174},{'f1': 0.4931506849315068},{'accuracy': 0.5842696629213483}
D4DATA-on-BABE,Topic,white-nationalism,{'precision': 0.8421052631578947},{'recall': 0.8421052631578947},{'f1': 0.8421052631578947},{'accuracy': 0.8}
VALURANK-on-BABE,Type,center,{'precision': 1.0},{'recall': 0.08823529411764706},{'f1': 0.16216216216216217},{'accuracy': 0.08823529411764706}
VALURANK-on-BABE,Type,left,{'precision': 1.0},{'recall': 0.11822660098522167},{'f1': 0.21145374449339208},{'accuracy': 0.11822660098522167}
VALURANK-on-BABE,Type,right,{'precision': 1.0},{'recall': 0.1065989847715736},{'f1': 0.1926605504587156},{'accuracy': 0.1065989847715736}
VALURANK-on-BABE,Topic,#metoo,{'precision': 1.0},{'recall': 0.3333333333333333},{'f1': 0.5},{'accuracy': 0.42857142857142855}
VALURANK-on-BABE,Topic,abortion,{'precision': 0.2727272727272727},{'recall': 0.08108108108108109},{'f1': 0.125},{'accuracy': 0.08695652173913043}
VALURANK-on-BABE,Topic,blm,{'precision': 0.3333333333333333},{'recall': 0.14893617021276595},{'f1': 0.20588235294117646},{'accuracy': 0.35714285714285715}
VALURANK-on-BABE,Topic,coronavirus,{'precision': 0.6},{'recall': 0.35294117647058826},{'f1': 0.4444444444444444},{'accuracy': 0.2857142857142857}
VALURANK-on-BABE,Topic,elections-2020,{'precision': 0.5},{'recall': 0.13043478260869565},{'f1': 0.20689655172413793},{'accuracy': 0.20689655172413793}
VALURANK-on-BABE,Topic,environment,{'precision': 0.16666666666666666},{'recall': 0.030303030303030304},{'f1': 0.05128205128205128},{'accuracy': 0.075}
VALURANK-on-BABE,Topic,gender,{'precision': 0.25},{'recall': 0.05263157894736842},{'f1': 0.08695652173913043},{'accuracy': 0.045454545454545456}
VALURANK-on-BABE,Topic,gun control,{'precision': 0.5294117647058824},{'recall': 0.12},{'f1': 0.1956521739130435},{'accuracy': 0.1590909090909091}
VALURANK-on-BABE,Topic,immigration,{'precision': 0.14285714285714285},{'recall': 0.043478260869565216},{'f1': 0.06666666666666667},{'accuracy': 0.17647058823529413}
VALURANK-on-BABE,Topic,international-politics-and-world-news,{'precision': 0.4166666666666667},{'recall': 0.29411764705882354},{'f1': 0.3448275862068966},{'accuracy': 0.2692307692307692}
VALURANK-on-BABE,Topic,islam,{'precision': 0.0},{'recall': 0.0},{'f1': 0.0},{'accuracy': 0.34285714285714286}
VALURANK-on-BABE,Topic,marriage-equality,{'precision': 0.0},{'recall': 0.0},{'f1': 0.0},{'accuracy': 0.4411764705882353}
VALURANK-on-BABE,Topic,middle-class,{'precision': 0.0},{'recall': 0.0},{'f1': 0.0},{'accuracy': 0.0}
VALURANK-on-BABE,Topic,sport,{'precision': 0.0},{'recall': 0.0},{'f1': 0.0},{'accuracy': 0.0}
VALURANK-on-BABE,Topic,student-debt,{'precision': 1.0},{'recall': 0.045454545454545456},{'f1': 0.08695652173913043},{'accuracy': 0.045454545454545456}
VALURANK-on-BABE,Topic,taxes,{'precision': 1.0},{'recall': 0.057692307692307696},{'f1': 0.10909090909090909},{'accuracy': 0.09259259259259259}
VALURANK-on-BABE,Topic,trump-presidency,{'precision': 0.0},{'recall': 0.0},{'f1': 0.0},{'accuracy': 0.037037037037037035}
VALURANK-on-BABE,Topic,universal health care,{'precision': 1.0},{'recall': 0.21428571428571427},{'f1': 0.35294117647058826},{'accuracy': 0.2978723404255319}
VALURANK-on-BABE,Topic,vaccines,{'precision': 0.07142857142857142},{'recall': 0.13043478260869565},{'f1': 0.09230769230769231},{'accuracy': 0.33707865168539325}
VALURANK-on-BABE,Topic,white-nationalism,{'precision': 0.3},{'recall': 0.15789473684210525},{'f1': 0.20689655172413793},{'accuracy': 0.23333333333333334}
D1V1DE-on-PRANJALI,Type,center,{'precision': 1.0},{'recall': 0.8308823529411765},{'f1': 0.9076305220883534},{'accuracy': 0.8308823529411765}
D1V1DE-on-PRANJALI,Type,left,{'precision': 1.0},{'recall': 0.4088669950738916},{'f1': 0.5804195804195804},{'accuracy': 0.4088669950738916}
D1V1DE-on-PRANJALI,Type,right,{'precision': 1.0},{'recall': 0.4213197969543147},{'f1': 0.5928571428571429},{'accuracy': 0.4213197969543147}
D1V1DE-on-PRANJALI,Topic,#metoo,{'precision': 1.0},{'recall': 0.8333333333333334},{'f1': 0.9090909090909091},{'accuracy': 0.8571428571428571}
D1V1DE-on-PRANJALI,Topic,abortion,{'precision': 0.7727272727272727},{'recall': 0.4594594594594595},{'f1': 0.576271186440678},{'accuracy': 0.45652173913043476}
D1V1DE-on-PRANJALI,Topic,blm,{'precision': 0.49230769230769234},{'recall': 0.6808510638297872},{'f1': 0.5714285714285714},{'accuracy': 0.42857142857142855}
D1V1DE-on-PRANJALI,Topic,coronavirus,{'precision': 0.7777777777777778},{'recall': 0.8235294117647058},{'f1': 0.8},{'accuracy': 0.6666666666666666}
D1V1DE-on-PRANJALI,Topic,elections-2020,{'precision': 0.7857142857142857},{'recall': 0.4782608695652174},{'f1': 0.5945945945945946},{'accuracy': 0.4827586206896552}
D1V1DE-on-PRANJALI,Topic,environment,{'precision': 0.72},{'recall': 0.5454545454545454},{'f1': 0.6206896551724138},{'accuracy': 0.45}
D1V1DE-on-PRANJALI,Topic,gender,{'precision': 0.8},{'recall': 0.42105263157894735},{'f1': 0.5517241379310345},{'accuracy': 0.4090909090909091}
D1V1DE-on-PRANJALI,Topic,gun control,{'precision': 0.7777777777777778},{'recall': 0.56},{'f1': 0.6511627906976745},{'accuracy': 0.48863636363636365}
D1V1DE-on-PRANJALI,Topic,immigration,{'precision': 0.6},{'recall': 0.391304347826087},{'f1': 0.47368421052631576},{'accuracy': 0.4117647058823529}
D1V1DE-on-PRANJALI,Topic,international-politics-and-world-news,{'precision': 0.4375},{'recall': 0.4117647058823529},{'f1': 0.42424242424242425},{'accuracy': 0.2692307692307692}
D1V1DE-on-PRANJALI,Topic,islam,{'precision': 0.0},{'recall': 0.0},{'f1': 0.0},{'accuracy': 0.4857142857142857}
D1V1DE-on-PRANJALI,Topic,marriage-equality,{'precision': 0.0},{'recall': 0.0},{'f1': 0.0},{'accuracy': 0.5882352941176471}
D1V1DE-on-PRANJALI,Topic,middle-class,{'precision': 0.9},{'recall': 0.34615384615384615},{'f1': 0.5},{'accuracy': 0.3333333333333333}
D1V1DE-on-PRANJALI,Topic,sport,{'precision': 1.0},{'recall': 0.6551724137931034},{'f1': 0.7916666666666666},{'accuracy': 0.6551724137931034}
D1V1DE-on-PRANJALI,Topic,student-debt,{'precision': 1.0},{'recall': 0.5454545454545454},{'f1': 0.7058823529411765},{'accuracy': 0.5454545454545454}
D1V1DE-on-PRANJALI,Topic,taxes,{'precision': 0.967741935483871},{'recall': 0.5769230769230769},{'f1': 0.7228915662650602},{'accuracy': 0.5740740740740741}
D1V1DE-on-PRANJALI,Topic,trump-presidency,{'precision': 0.875},{'recall': 0.2692307692307692},{'f1': 0.4117647058823529},{'accuracy': 0.25925925925925924}
D1V1DE-on-PRANJALI,Topic,universal health care,{'precision': 0.92},{'recall': 0.5476190476190477},{'f1': 0.6865671641791045},{'accuracy': 0.5531914893617021}
D1V1DE-on-PRANJALI,Topic,vaccines,{'precision': 0.19607843137254902},{'recall': 0.43478260869565216},{'f1': 0.2702702702702703},{'accuracy': 0.39325842696629215}
D1V1DE-on-PRANJALI,Topic,white-nationalism,{'precision': 0.6},{'recall': 0.3157894736842105},{'f1': 0.41379310344827586},{'accuracy': 0.43333333333333335}
D4DATA-on-PRANJALI,Type,center,{'precision': 1.0},{'recall': 0.2426470588235294},{'f1': 0.3905325443786982},{'accuracy': 0.2426470588235294}
D4DATA-on-PRANJALI,Type,left,{'precision': 1.0},{'recall': 0.5714285714285714},{'f1': 0.7272727272727273},{'accuracy': 0.5714285714285714}
D4DATA-on-PRANJALI,Type,right,{'precision': 1.0},{'recall': 0.6192893401015228},{'f1': 0.7648902821316614},{'accuracy': 0.6192893401015228}
D4DATA-on-PRANJALI,Topic,#metoo,{'precision': 0.8},{'recall': 0.6666666666666666},{'f1': 0.7272727272727273},{'accuracy': 0.5714285714285714}
D4DATA-on-PRANJALI,Topic,abortion,{'precision': 0.8275862068965517},{'recall': 0.6486486486486487},{'f1': 0.7272727272727273},{'accuracy': 0.6086956521739131}
D4DATA-on-PRANJALI,Topic,blm,{'precision': 0.6923076923076923},{'recall': 0.574468085106383},{'f1': 0.627906976744186},{'accuracy': 0.6190476190476191}
D4DATA-on-PRANJALI,Topic,coronavirus,{'precision': 1.0},{'recall': 0.4117647058823529},{'f1': 0.5833333333333334},{'accuracy': 0.5238095238095238}
D4DATA-on-PRANJALI,Topic,elections-2020,{'precision': 0.8666666666666667},{'recall': 0.5652173913043478},{'f1': 0.6842105263157895},{'accuracy': 0.5862068965517241}
D4DATA-on-PRANJALI,Topic,environment,{'precision': 0.7894736842105263},{'recall': 0.45454545454545453},{'f1': 0.5769230769230769},{'accuracy': 0.45}
D4DATA-on-PRANJALI,Topic,gender,{'precision': 0.8888888888888888},{'recall': 0.42105263157894735},{'f1': 0.5714285714285714},{'accuracy': 0.45454545454545453}
D4DATA-on-PRANJALI,Topic,gun control,{'precision': 0.925},{'recall': 0.49333333333333335},{'f1': 0.6434782608695652},{'accuracy': 0.5340909090909091}
D4DATA-on-PRANJALI,Topic,immigration,{'precision': 0.75},{'recall': 0.6521739130434783},{'f1': 0.6976744186046512},{'accuracy': 0.6176470588235294}
D4DATA-on-PRANJALI,Topic,international-politics-and-world-news,{'precision': 0.75},{'recall': 0.5294117647058824},{'f1': 0.6206896551724138},{'accuracy': 0.5769230769230769}
D4DATA-on-PRANJALI,Topic,islam,{'precision': 0.0},{'recall': 0.0},{'f1': 0.0},{'accuracy': 0.42857142857142855}
D4DATA-on-PRANJALI,Topic,marriage-equality,{'precision': 0.0},{'recall': 0.0},{'f1': 0.0},{'accuracy': 0.5735294117647058}
D4DATA-on-PRANJALI,Topic,middle-class,{'precision': 1.0},{'recall': 0.38461538461538464},{'f1': 0.5555555555555556},{'accuracy': 0.4074074074074074}
