text,topic,type,label,Predicted
President Donald Trump ridiculed former Secretary of State Colin Powell on Sunday for endorsing former Vice President Joe Biden for president.,elections-2020,right,1,XXX
"""I know real power when I see it: the Divine Nine,"" he said, thanking the presidents of the Greek letter organizations for their attendance.",blm,nan,0,XXX
Warren has been reaching out to LGBT voters by condemning Christian schools that hold and teach a biblical worldview of human sexuality and marriage.,marriage-equality,nan,0,XXX
The Internet lashed out at Rep. Devin Nunes (R-CA) on Sunday after he told Americans to go to restaurants during the novel coronavirus pandemic.,vaccines,nan,0,XXX
"A federal judge dismissed the United States women’s soccer team’s bid for equal pay on Friday, rejecting claims the players had been underpaid in a crushing defeat for the reigning world champions.",sport,right,1,XXX
"Strava, which tracks the sports activity trends of some 50 million people in almost 200 countries, surveyed 25,000 runners and found that half of them say they either hate it or barely tolerate it, while only 8% love it.",sport,center,1,XXX
IKEA said then that the basis of the company’s culture is freedom of opinion and tolerance but it could not accept behavior that excluded others.,marriage-equality,nan,0,XXX
Joe Biden's Fourth of July message focused on America's long history of racial injustice -- from slavery to George Floyd's death -- as he called for Americans to strive to achieve the country's founding ideal of equality.,marriage-equality,nan,0,XXX
U.S. Treasury Secretary Steven Mnuchin said on Tuesday that Treasury Department lawyers had held “informational” discussions with the White House about an expected request from House Democrats for President Donald Trump’s tax returns.,taxes,center,1,XXX
"The SPLC last year released hundreds of emails of Stephen Miller,the architect of Trump’s immigration policies such as the child-parent separations at the border and the Muslim ban, in which he cited and promoted ""explicitly white nationalist websites.""",white-nationalism,left,1,XXX
"It’s baked into Keon’s choice of an all-white senior leadership team, the snickers on stage at his racist antics, and the spectacle of Keon saying he is directing an “interdisciplinary” Inclusion, Diversity, and Equity team “to understand and address issues of importance to the Asian Pacific Islander community at PNW.”",white-nationalism,nan,0,XXX
"Sanders' team feels he has been unfairly and inaccurately accused of sexism while Warren's allies took special offense to Sanders' campaign manager going on TV to say her recollection of events was a ""lie.""",gender,left,1,XXX
"Witness, for instance, the wacky nonsense New York mayor and current Trump flunky Rudy Giuliani addressed to Salon's Roger Sollenberger during a text interview this week. ",blm,left,1,XXX
"Such criminalization would be accomplished via universal background checks, which Harris strongly supports.",gun control,right,1,XXX
"The Trump administration made its anti-LGBTQ healthcare announcement on the fourth anniversary of the Pulse massacre, in Pride month.",marriage-equality,nan,0,XXX
"Ensuring a level playing field for athletes during their Olympic preparations may not be possible due to the coronavirus pandemic but it is a challenge World Athletics will strive to overcome, its president Sebastian Coe said.",sport,center,1,XXX
"Protesters in New Zealand’s Auckland city sat on the road after their peaceful march as they raised clenched fists in a sign of unity, solidarity and Black Power.",blm,center,1,XXX
"Cuomo has been championed by the mainstream media for his response to the coronavirus pandemic in New York City, but his state-wide response to nursing homes deserves anything but the glowing praise he’s received.",coronavirus,right,1,XXX
"After too many episodes ramming down their throats that racism is wrong, the British Empire was bad, homosexuality is great, Victorian history looked like one great big United Colours of Benetton advert and that a female Doctor is better than a white male one, the series’s viewers have been abandoning it in their droves.",marriage-equality,nan,0,XXX
"Trump made his predecessor's posture toward Iran a centerpiece of his 2016 campaign, suggesting that a nuclear agreement worked out by President Barack Obama on behalf of the USA and five other nations was too soft on the country.",trump-presidency,center,1,XXX
"Biden infamously embodied that twisted idea when, while campaigning for president in 2020, he said that black voters aren't really black if they vote for Donald Trump.",blm,nan,0,XXX
"Of course, not everyone supports this liberal-libertarian liberaltarianism.  To name just one opponent, there’s Donald Trump. ",taxes,right,1,XXX
The president can’t handle criticism. Or facts that don’t paint him in the best-possible light.,abortion,nan,0,XXX
"Anticipating pushback from anti-LGBTQ groups over this monumental achievement, HRC worked to keep the newly awarded rights legal.",marriage-equality,nan,0,XXX
"Conservative commentator Ben Shapiro wants you to know that he’s so pro-life, he wouldn’t even consider aborting baby Hitler.",abortion,left,1,XXX
"Sen. Kamala Harris (D-CA), the Democratic Party nominee for vice president, told 60 Minutes on Sunday evening that she believed that President Trump is a racist.",islam,nan,0,XXX
"On the other hand, it’s also true that men often use the “it’s not me, it’s the world” cover to discourage women’s dreams and ambitions, and often for self-serving reasons.",gender,left,1,XXX
"Experts have warned that a total U.S. withdrawal from Syria, which is still embroiled in a chaotic civil war spawned eight years ago by protests against dictator Bashar al-Assad, would advance the interests of Iran and Russia.",international-politics-and-world-news,left,1,XXX
"Campaigners for gender equality took to European city streets on Friday to mark International Women’s Day with celebrations and protests, while in Turkey police fired tear gas to break up a crowd of several thousand women in Istanbul in the evening.",gender,center,1,XXX
"Barring that, Trumpism will spread and infect our nation like a deadly cancer.",islam,nan,0,XXX
"Civil rights activists across the United States for years have called for scaling back traditional policing, and the efforts have gained momentum through protests over the death of George Floyd in Minneapolis police custody last month.",blm,center,1,XXX
Media celebrate gay men like Andy Cohen and Anderson Cooper “having” babies via surrogate as totally normal.,abortion,nan,0,XXX
"The U.S. ambassador to Germany, Richard Grenell, doubled down on his defense of Vice President Mike Pence as Democratic presidential candidate Pete Buttigieg appears to have tried to put the feud with Grenell to rest.",marriage-equality,nan,0,XXX
"Trump officials took to the Sunday shows today to, as usual, defend themselves and their incompetent leader from the latest scandals and demonstrations of incompetence.",universal health care,left,1,XXX
The second case was on whether a person’s claimed sense of “gender identity” allowed them to claim workplace sex-discrimination against their transgender status.,marriage-equality,nan,0,XXX
Drowned out by the algorithm: Vaccination advocates struggle to be heard online,vaccines,left,1,XXX
"Thousands marched through U.S. cities on Friday in Juneteenth observances marking the abolition of slavery more than a century and a half ago, an occasion freighted with special resonance this year amid America’s reckoning with its legacy of racism.",blm,nan,0,XXX
Trump's payroll tax ploy ploy endangers Social Security — and it will have to be paid back next year,taxes,left,1,XXX
The Times reported that Bill Gates had met in with Epstein multiple times ,#metoo,center,1,XXX
Yale psychiatrist explains why the coronavirus pandemic and Donald Trump's irrational cult is a deadly combination,vaccines,nan,0,XXX
"But without that intervention, we must assume that the bus drivers were under instructions to leave them there, in a residential neighborhood on a frigid night, wearing only light clothing, not speaking the language, and having no idea where they were.”",immigration,nan,0,XXX
"Virginia, where Democrats took control of the legislature by promising stronger gun laws, has become the latest focal point for the contentious American debate around the right to bear arms. ",gun control,center,1,XXX
"It's a vision based on an abandonment of globalism, a skepticism toward multiculturalism, a rejection of a government led by the ""elite,"" an embrace of religion, and an emphasis on ""national solidarity"" -- which Hawley believes has been broken by ""liberationist policies.""",middle-class,nan,0,XXX
"As Black Lives Matter rioters coursed through the city, Lightfoot attempted to lock the protesters out of the Loop area by raising the bridges over the Chicago River and blockading highway exits feeding into downtown.",marriage-equality,nan,0,XXX
"Donald Trump used his mighty Twitter platform to drum up business for his golf course in Los Angeles on Sunday. U.S. deaths from COVID-19 neared 80,000, but the president didn’t tweet about that. ",trump-presidency,left,1,XXX
Durkan is among Democratic mayors who have called for an end to violence at protests against racism and police brutality after Republican President Donald Trump used images of the destruction for his re-election campaign.,blm,center,1,XXX
"Juneteenth, an annual U.S. holiday on June 19, has taken on greater significance this year following nationwide protests over police brutality and the deaths of George Floyd, Breonna Taylor, Rayshard Brooks and other African Americans.",blm,nan,0,XXX
"By threatening the kids and their families with deportation, the administration’s U.S. Citizenship and Immigration Services was effectively delivering death sentences.",immigration,left,1,XXX
How a 'constitutionalist' Oregon sheriff rules his rural county like a personal fiefdom,gun control,left,1,XXX
"Bear in mind that none of these moneyed elites did anything to earn these extraordinary bonanzas. They didn’t work any harder, didn’t get smarter, didn’t add anything of value to society but simply reclined in luxury and let their money make money. ",middle-class,left,1,XXX
"Due to global overpopulation, giving birth is the worst thing you can do to the planet, MacCormack sustains, while insisting that she is not advocating wiping out the existing population but rather letting it die off.",environment,right,1,XXX
"The world’s economy has suffered a sharp contraction this year as measures to contain the spread of the virus have curbed transport, trade, and demand across the planet.",vaccines,nan,0,XXX
"In New York City, the national epicenter of the disease, the same racialized outcomes are observed, with more African Americans being hospitalized and dying from the disease than any other racial group, followed by Latinos.",coronavirus,left,1,XXX
"Overall, said Clayton, “just strengthening the mental health care system would be helpful.”",environment,nan,0,XXX
"Trump, who denied accusations that he fired Comey in an effort to cover up alleged cooperation between his campaign and the Russians, also said Friday Nixon made a mistake in firing a number of aides who wound up providing evidence against him.",trump-presidency,center,1,XXX
"Ivanka Trump says she opposes the Alexandria Ocasio Cortez-spearheaded Green New Deal because she feels, deep down, that people prefer to earn money rather than having it given to them.",universal health care,nan,0,XXX
Newly empowered Democrats in Washington and statehouses across the country are flexing their legislative muscle with a host of tax proposals that would affect billionaires and blue collar alike.,middle-class,right,1,XXX
"Supreme Court nominee Amy Coney Barrett argued in a dissent last year that felons should be allowed to own guns, a position Republicans on the Senate Judiciary Committee long opposed before defending President Donald Trump's nominee to replace Justice Ruth Bader Ginsburg on the bench.",gun control,left,1,XXX
Anti-vaccine groups take dangerous online harassment into the real world,vaccines,left,1,XXX
The battle of Portland is just plain crazy — but what else would you expect in Donald Trump’s dystopian America?,blm,left,1,XXX
Senator Kamala Harris (D-CA) tells Lawrence O'Donnell that Donald Trump fuming about a Black Lives Matter sign in front of Trump Tower is why the attention should be focused on passing the George Floyd Justice and Policing Act.,blm,nan,0,XXX
"President Donald Trump abruptly turned and walked away from the lectern at a White House news briefing Monday after telling a reporter to ""ask China"" in response to a question about U.S. coronavirus testing capacity. ",trump-presidency,center,1,XXX
"After walking off following another hardcourt loss to Novak Djokovic, allowing Serbia to level the final after Roberto Bautista Agut won the opening singles for Spain, Nadal urged the men's tour and the sport's international governing body to form one major team tournament.",sport,right,1,XXX
"Over the past three decades, the fascism of political correctness has only grown more oppressive and suffocating, but now, with the left-wing moral panic sparked by the tragic death of George Floyd while in police custody, the left is emboldened.",marriage-equality,nan,0,XXX
Will the American people follow the commands of Donald Trump's coronavirus death cult?,taxes,left,1,XXX
"As the coronavirus outbreak continues to spread across the U.S., nurses and other public health experts are warning that the country's public health system is unprepared to handle a pandemic and calling on the federal government to take more urgent steps to protect the American people from the disease.",vaccines,nan,0,XXX
"The president and his Republican brethren made all kinds of predictions about what would happen if their tax plan passed, and each of those predictions – from job creation to growth rates to the fiscal impact – turned out to be wrong.",middle-class,left,1,XXX
"The growing number of coronavirus cases, including 26 deaths, coupled with plummeting oil prices led to the Dow Jones industrial average diving 19% from its all-time high three weeks ago.",coronavirus,nan,0,XXX
"Seattle Mayor Jenny Durkan, facing local and national pressure to crack down on the protests, said on Monday officials would move to wind down the blocks-long, autonomous zone set up two weeks ago.",blm,nan,0,XXX
"That market is widening this year to include a new rush of first-time buyers, including many women, minorities and politically liberal buyers who once would not have considered gun ownership, according to Reuters interviews with more than a dozen industry experts, academics and gun store owners.",gun control,center,1,XXX
"In a September executive order, President Donald Trump gave states and local governments the right to reject refugees, but instead of saying no, most state and local officials have blindsided the administration by opting in, according to two former officials familiar with the matter.",immigration,left,1,XXX
"At the time, Wilson claimed he was only helping illuminate the contours of the 2016 race, before eventually being hired by one of the White House hopefuls.",taxes,right,1,XXX
"But for the first time, a new study, published today in PLOS Biology, has revealed the lasting impacts of climate trauma on brain function. “",environment,nan,0,XXX
"Good grief, what better example of the Democrat tyranny do you need than these anti-science lockdowns?",marriage-equality,nan,0,XXX
"This is a part of the climate conversation that often gets lost underneath the discussions around carbon emissions and changing weather, activism to spur new policies, and technological solutions to help lower global temperatures accordingly.",environment,nan,0,XXX
"The coronavirus has presented the president with an adversary unlike any other he has confronted. It cannot be intimidated by angry tweets. It cannot be dismissed with a nickname. It cannot be diminished by calling it a “hoax,” as he did in February. And as the death toll rises, while Trump’s poll numbers fall, a new, old strategy is taking shape.",trump-presidency,center,1,XXX
[Newsoms's] obsession with masks has created an almost hostile environment in our neighborhoods and streets.,vaccines,nan,0,XXX
President Donald Trump’s younger adult son is being criticized for falsely claiming on national television that the COVID-19  crisis is a Democratic hoax that will “disappear” after the November presidential election.,coronavirus,left,1,XXX
Strategic purchases of U.S. businesses and the placement of Chinese companies on American stock exchanges and indexes have also given the PRC enormous suasion over the avenues of American soft power.,coronavirus,right,1,XXX
"The death of the postal service would deprive Americans of a way to vote, pay bills, apply for passports, get prescriptions, send letters, receive tax refunds, collect Social Security and ship items ranging from gold bars to cremated remains.",coronavirus,left,1,XXX
"It’s no exaggeration to say that the anti-choice movement, from tip to toe, is stuffed with melodramatic liars and grifters.",abortion,left,1,XXX
"In 2018, Trump spoke wistfully about Chinese President Xi Jinping’s ability to change the constitution and scrap limits on the number of terms he could serve. And today he is trying to get Russia reinstated into the Group of 7, the organization of large democratic economies, even as Putin seeks to extend his presidential term until 2036 and still retains control of a portion of Ukraine, the reason Russia was expelled from what had been the G8 in the first place.",trump-presidency,left,1,XXX
"""I have to say, I have been here for four years in the Senate.",elections-2020,nan,0,XXX
"Democratic presidential hopeful Cory Booker on Monday unveiled a sweeping plan to reduce gun violence that includes establishing a national gun licensing program, limiting individual purchases of firearms to one per month, and placing a ban on assault weapons and high-capacity magazines.",gun control,center,1,XXX
"A divided federal appeals court on Tuesday rejected Planned Parenthood’s constitutional challenge to an Ohio law depriving the organization of state funding because it performs abortions, handing a victory to anti-abortion advocates.",abortion,center,1,XXX
"People were tear-gassed, manhandled, shoved, battered with clubs and slammed with shields on Monday to clear the way for Trump to cross the street from the White House for a photo op at St. John’s Episcopal Church. The onslaught against the protesters began 25 minutes before a 7 p.m. curfew. ",trump-presidency,left,1,XXX
"Military ships and aircraft have been deployed to coastal communities in southeastern Australia cut off by raging wildfires that have raced towards the coast, trapping thousands as the death toll from the apocalyptic blazes continues to grow.",environment,right,1,XXX
"Since the coronavirus pandemic began, emboldened pro-life groups have used the public health crisis to try to disrupt access to abortion.",abortion,left,1,XXX
Inhibiting travel and commerce—not to mention making consular interviews deeply intrusive on a gendered basis—by imposing restrictions on pregnant women is an alarmist reaction to a small issue.,immigration,left,1,XXX
"The U.S. Internal Revenue Service on Friday said it was sending thousands of letters to taxpayers who failed to report virtual currency transactions, saying they may owe taxes.",taxes,center,1,XXX
Harry Potter creator J.K. Rowling released a lengthy essay in response to the mounting attacks she’s received from transgender activists forcing an effort to erase womanhood and targeting the Harry Potter author for refusing accept their logic that a man can “become” a woman merely by asserting that he has done so.,marriage-equality,nan,0,XXX
"The rollback of National Environmental Policy Act (NEPA), called an “international treasure” by one former EPA official, will allow the fossil fuel industry to quickly get approval for new projects that could send climate-warming, pollution-causing emissions into surrounding communities, as well as harm wildlife habitats and federally protected lands, with scant oversight.",environment,left,1,XXX
"The think tank, whose international patrons have included the NeverTrump “conservative” Bill Kristol and Iraq war cheerleader Richard Perle, smeared Geller and Spencer in a new report, titled “Free to be Extreme.”",islam,nan,0,XXX
Here’s why the fear of medical bankruptcy could make the spread of coronavirus even worse in the US,universal health care,left,1,XXX
Suicide hotlines are overwhelmed. Unemployment is skyrocketing. Women and children in abusive relationships are stuck at home in a nightmare situation with their abusers. Alcohol sales are through the roof. Foster kids have nowhere to go to be loved and cared for.,coronavirus,right,1,XXX
"But instead of closing loopholes that allow criminals to access firearms, the bill by House Democrats could turn millions of law-abiding American gun owners into felons.",gun control,right,1,XXX
"DeVos, like all Trump administration officials, is a Clue-caricature villain.",marriage-equality,nan,0,XXX
"The Woke Taliban have declared the anti-racism of colorblindness racism, but we hicks don’t subscribe to that nonsense — and never will.",marriage-equality,nan,0,XXX
"The coronavirus pandemic, enabled and accelerated by Donald Trump, has killed more than 60,000 Americans. ",taxes,left,1,XXX
"Trump, who opted against giving a Super Bowl pregame interview last year, made several eyebrow-raising remarks during his interview with host Margaret Brennan, touching on topics including his plan to withdraw U.S. troops from Syria and whether he would let his 12-year-old son play football.",sport,left,1,XXX
"Research shows that police brutality has health consequences for individuals who are victimized, and that those who live in disproportionately policed communities have poor health.",white-nationalism,nan,0,XXX
"There were many reasons that Trump defeated Clinton in 2016, and sexism was surely among them. ",gender,left,1,XXX
"Not only do most U.S. workers not have that luxury – 29% have the option to work remotely, according to Labor Department data – many have frontline exposure to the virus because their jobs put them in front of people.",coronavirus,center,1,XXX
"Tuesday's nominating contests in New York, Kentucky and several other states pitted establishment Democrats against challengers pushing for sweeping change after the May 25 death of George Floyd, a Black man, while in Minneapolis police custody.",blm,center,1,XXX
"Michael Mann, arguably the world’s no. 1 climate alarmist, goes on to make proclamations that only a publication as ideologically compromised as the Guardian would think to publish.",environment,right,1,XXX
"Having a baby is hard, caring for a baby is hard, going back to work after a leave is hard but a few weeks of salary is not worth killing your baby for.",abortion,right,1,XXX
"A surge in people buying guns since the coronavirus pandemic began has flooded the FBI’s background check system, causing a spike in the number of delayed checks and allowing gun sales to proceed without them, FBI data disclosed on Tuesday showed.",gun control,center,1,XXX
"Some party leaders, including House Speaker Nancy Pelosi, have warned that the focus on Medicare for All could cost Democrats with swing voters next year.",universal health care,center,1,XXX
"U.S. Senator Elizabeth Warren, who has emerged as a top contender to challenge Republican President Donald Trump, has faced criticism from moderate rivals including former Vice President Joe Biden over her Medicare for All proposal, which would eventually eliminate most private insurance in favor of a government-run plan.",universal health care,center,1,XXX
"Elizabeth Warren has recalibrated her rhetoric on Medicare for All, as concerns about her support for replacing private insurance with a government-run plan continue to buffet her once-surging Democratic presidential campaign.",universal health care,center,1,XXX
"Thousands of asylum seekers crammed in border towns near the Texas-Mexico border awaiting U.S. immigration hearings are at risk of dying from coronavirus because of poor health access and unsafe conditions, advocates say.",immigration,center,1,XXX
Trump’s latest anti-China barb came as new figures showed 30 million Americans have lost their jobs during lockdown.,international-politics-and-world-news,right,1,XXX
Muslim communities were the first to feel Donald Trump’s assault on Black and brown communities in this country with his vile Muslim ban.,islam,nan,0,XXX
"Just off the top of my head, CNN is already filled with useless and uninteresting Never Trump deadwood.",gun control,right,1,XXX
"Whether it is due to gaffes, his inability to complete some sentences, or lack of knowledge on a subject, Biden has proven that interviews are not for him and the media has covered accordingly.",vaccines,nan,0,XXX
Trump has shown at best a hazy grasp of his actual powers during his presidency and instead has made broad statements about his authority under the Constitution.,trump-presidency,left,1,XXX
Black Lives Matter Philadelphia organizer proposes five-year plan to abolish police,marriage-equality,nan,0,XXX
"These [policies] include creating collective ownership in black communities, instituting reparations including for illegal aliens, defunding the police, and “disrupt[ing] the Western-prescribed nuclear family structure.”",marriage-equality,nan,0,XXX
"Even after climton's loss in 2016, the network tried desperately to drag her back into the spotlight, to juice up its long-running narrative that she’s a an all-powerful force of marauding feminist evil, which viewers embrace with lust.",gender,left,1,XXX
"Biden re-nominated Shogan to the position in January, just days before the public learned that the current president was embroiled in his own classified documents scandal.",elections-2020,nan,0,XXX
"This prohibition is but the first portion of the implementation of I-1639, the gun control initiative pushed by millionaires and billionaires and passed by voters on November 6, 2018.",gun control,right,1,XXX
"However, this intentionally cruel right-wing political maneuver is so unpopular -- especially today -- that there was no trumpeting of the legal filing by the White House to strike Obamacare. ",universal health care,left,1,XXX
What’s needed at PNW is new leadership—both at the chancellor level as well as at the Board of Trustees level.,white-nationalism,nan,0,XXX
These freakish people are laying in wait to strike you with a new extreme lockdown and a biology-altering vaccine.,vaccines,nan,0,XXX
"It seems that there is only one thing The New York Times is more afraid of than the Coronavirus, and that of course is a victory by Donald Trump in November.",vaccines,nan,0,XXX
"The picture that emerges is of a system of staggering complexity, riddled with obstacles and cracks, that prioritizes babies over mothers, thwarts women at every turn, frustrates doctors and midwives, and incentivizes substandard care.",abortion,left,1,XXX
"He pointed out, in blunt and colorful language, that economic suicide in pursuit of the latter goal is insanity. His video went viral.",coronavirus,right,1,XXX
"Even if Trump is “unraveling” as Never Trumpers are wont to claim, his supporters won’t disappear on November 4th. George Will and the leftists many Never Trumpers now ally themselves with must reconcile their perception of the American people with reality.",trump-presidency,right,1,XXX
Joe Biden visited a Black Lives Matter protest site in Delaware as Trump rages on Twitter against demonstrators,blm,nan,0,XXX
"The open letter — Millionaires Against Pitchforks — has been released to coincide with the orgy of virtue-signalling by the globalist elite at the World Economic Forum in Davos, Switzerland.",middle-class,right,1,XXX
"Donald Trump has spun a cult of personality around himself, aided by a wholly complicit Republican Party now under his complete control.",blm,left,1,XXX
Trump's nomination of Amy Coney Barrett: Another step toward Christian fascism,islam,nan,0,XXX
"The bill would also provide a massive giveaway to the many technology, banking, insurance, and staffing companies that have replaced a huge number of U.S. graduates with large blocs of compliant Indian and Chinese graduates.",coronavirus,right,1,XXX
"Yet the gender ideology is rapidly gaining power, aided by huge donations from wealthy individuals and medical companies.",gender,right,1,XXX
It took President Donald Trump only 11 days in office to decide that Colorado's Neil Gorsuch deserved a lifetime appointment to the Supreme Court.,islam,nan,0,XXX
The ACLU and other groups sued last year in San Francisco federal court on behalf of 11 migrants challenging the asylum policy.,immigration,left,1,XXX
"The proposed agreement with the European Commission would be the largest initial order of doses for Pfizer and BioNTech to date, they said.",vaccines,nan,0,XXX
Members of President Donald Trump’s coronavirus task force briefed reporters Tuesday on the successful efforts toward containing the coronavirus but warned that it would likely become a global pandemic.,vaccines,nan,0,XXX
"Now that most of America has begun opening back up without the predicted spikes in coronavirus and Joe Biden has left his basement bunker, Americans are remembering that there’s an election going on. As normalcy quickly returns some places, so to has the battle for 1600 Pennsylvania Avenue.",elections-2020,right,1,XXX
"Bush, who has largely avoided politics since leaving office in 2009, has recently weighed in on the Chinese coronavirus pandemic and the death of George Floyd — and while neither statement mentioned President Trump by name, they were regarded as veiled swipes at his handling of both matters.",trump-presidency,right,1,XXX
"Yet every nation except Mongolia and Greenland recorded dozens to thousands of deaths no matter what they tried, even socialist systems with draconian lockdowns like Italy (684.63 deaths per million), Spain (830.57), and the United Kingdom (722.45).",vaccines,nan,0,XXX
"Democrat Stacey Abrams, who lost the 2018 gubernatorial election in Georgia and now runs a voters right organization, praised South Korea’s recent vote-by-mail election at the hearing.",elections-2020,right,1,XXX
The sharp reductions documented in carbon emissions and air pollution caused by coronavirus-related lockdowns have offered a sort of preview of the kind of improvements that can be made when drastic action is taken.,environment,left,1,XXX
"For Sens. Elizabeth Warren, D-Mass., Bernie Sanders, I-Vt., and others on the stage, it is to put the final bullet in what is left of the free market in health care.",universal health care,nan,0,XXX
"We also need to figure out how people are dealing with it, and how we can make that better.”",environment,nan,0,XXX
Lawmakers who claim to care about women’s emotional health would do better to listen to the hundreds of thousands of women who seek abortion care every year and know it is the right decision.,abortion,left,1,XXX
"Friday, a legal services organization at Yale Law School sent a letter to the high court urging that the administration's decision to terminate DACA should be blocked in light of the pandemic.",immigration,center,1,XXX
"Trump, whose first rally of the coronavirus pandemic on Saturday in Tulsa, Oklahoma, drew fewer supporters than expected and was seen as exposing weaknesses in his campaign, pushed a law-and-order theme in Phoenix before a cheering audience of several-thousand young people.",blm,nan,0,XXX
Trump's 'task force' performance is an act -- he's still the same psychotic monster he always was,vaccines,nan,0,XXX
Hungary’s parliament has passed a declaration against signing the Istanbul Convention on preventing and combating violence against women because it smuggles in provisions declaring gender a “social construct” and allowing “gender-based asylum claims”.,marriage-equality,nan,0,XXX
"Yet the drumbeat for censorship goes on as the politicians whose ideas find favor with the mainstream media want to make sure theirs are the only ideas you ever get to hear. Today it will be about money, but only because money is the means to spread ideas.",elections-2020,right,1,XXX
"Joe Biden, who has been content to sit in the basement thus far, now has to play some offense, and he has two big chances to do it.",vaccines,nan,0,XXX
"But it's also true that high-profile travesties of justice, such as the one Senate Republicans are currently preparing to commit, can often provoke major political backlash. ",blm,left,1,XXX
